"id","short_code","original_url","click_count","created_at"
"c9e556a0-a389-4bae-bbfe-5e0ed2792167","82VSnI","https://www.linkedin.com/kaushal_khodifad","0","2026-02-19 18:33:24.08961+00"
"ba6bdb76-581b-4631-8cd4-63b050fd1f27","izqttQ","https://www.linkedin.com/kaushal_khodifad","0","2026-02-19 18:37:49.595202+00"
"16213fc1-05ea-4da4-b114-9b1dc2432a21","Bx5IeP","https://www.linkedin.com/kaushal_khodifad","1","2026-02-19 18:43:47.195266+00"
"336a8488-5aed-42ae-ada2-3dddb1be829c","wmfbzb","https://www.linkedin.com/in/kaushal-khodifad/","1","2026-02-19 18:44:31.114685+00"
"4c09cf84-998d-4c90-bf1e-5455be4557ef","q0sex1","https://ajiio.in/fSx0pdR","0","2026-02-20 05:09:17.647197+00"
"dababfbf-52ce-4996-80f6-4a1f32f26920","55ho0J","https://www.linkedin.com/kaushal-khodifad","0","2026-02-20 06:24:39.727613+00"
"71ec23d8-89b6-4ae5-8093-a1a2454e82a9","FZVESa","https://vkglobalexport.com/contact.php","2","2026-02-20 09:31:36.085752+00"
"7bec34e6-98c3-4f5b-820f-28f661af31d3","p2qfKF","https://www.linkedin.com/kaushal-khodifad","2","2026-02-20 06:30:13.988949+00"
"facf45e9-47ed-4143-93a6-652461d29d99","FU7U84","https://www.linkedin.com/in/kaushal-khodifad/","1","2026-02-20 06:32:08.159502+00"
"d0993bb3-f17b-4d98-8963-7ec27523d14d","omVVha","https://aarambhfoodexport.com/","0","2026-02-20 10:03:06.563781+00"
"807639a7-0b0a-45e1-bed0-e15d38e952bc","jMqWFL","https://www.linkedin.com/in/kaushal-khodifad/","2","2026-02-20 06:32:39.400919+00"
"9ed12508-1b62-4e99-a433-48814493751a","chbfBD","https://www.instagram.com/nileshkhimani11?igsh=MTg2ZW1tanpqYTVudg==","1","2026-02-20 08:31:21.175711+00"
"456c718e-c82d-44b0-b242-f0078f65ffd7","CXethO","https://www.bigdatalogin.com","1","2026-02-20 08:44:26.900816+00"
"50a5dae0-4190-4ba4-b691-be6efa4a323d","K6ySXM","https://biizline.com/","1","2026-02-20 08:51:41.537761+00"
"690d7b37-8e47-4fd1-965a-adcfc4c29287","V02R4v","https://sexboobs.com","0","2026-02-20 08:56:08.313919+00"
"0d2d6afd-0d5f-4a44-9ce9-aeaa1ae1e5be","bffk5z","https://www.instagram.com/","0","2026-02-20 10:05:18.464345+00"
"d8408fde-281d-4e51-a2d0-6590501c0a2a","UWwiJb","https://www.wne3.com/","2","2026-02-20 08:58:47.947942+00"
"3795f4b0-e213-409a-bdb5-54158b9417e5","IV8i48","https://www.google.com/search?q=price+history&sca_esv=2d88214d4b99b962&sxsrf=ANbL-n5Ob-MFEOkw0_FP5v4b6fSAWmlQzw%3A1771578692624&source=hp&ei=RCWYaeHHI4jr1e8Ps6zD2Ak&iflsig=AFdpzrgAAAAAaZgzVHG8rUD7fBg1s7xo1tUP2_5r5gVL&oq=price&gs_lp=Egdnd3Mtd2l6IgVwcmljZSoCCAAyChAjGIAEGCcYigUyERAuGIAEGJECGNEDGMcBGIoFMhEQLhiABBiRAhjHARiKBRivATINEAAYgAQYsQMYQxiKBTIKEAAYgAQYQxiKBTIIEAAYgAQYsQMyDhAAGIAEGLEDGIMBGIoFMggQABiABBixAzILEAAYgAQYsQMYgwEyCBAAGIAEGLEDSPMPUABYnQVwAHgAkAEAmAH_AaAB-wiqAQUwLjEuNLgBA8gBAPgBAZgCBaACmQnCAhAQLhiABBjRAxhDGMcBGIoFwgIEECMYJ8ICCxAAGIAEGJECGIoFwgIFEAAYgATCAggQLhiABBixA8ICCxAAGIAEGLEDGIoFmAMAkgcDMi01oAeAPLIHAzItNbgHmQnCBwcwLjEuMy4xyAcVgAgA&sclient=gws-wiz&sei=eyWYaceQGdKz4-EPrezx8Q8","0","2026-02-20 09:12:38.606615+00"
"0edd3bd6-7710-4846-b899-a8bb0e50362c","g5AN2N","https://www.google.com/search?q=price+history&sca_esv=2d88214d4b99b962&sxsrf=ANbL-n5Ob-MFEOkw0_FP5v4b6fSAWmlQzw%3A1771578692624&source=hp&ei=RCWYaeHHI4jr1e8Ps6zD2Ak&iflsig=AFdpzrgAAAAAaZgzVHG8rUD7fBg1s7xo1tUP2_5r5gVL&oq=price&gs_lp=Egdnd3Mtd2l6IgVwcmljZSoCCAAyChAjGIAEGCcYigUyERAuGIAEGJECGNEDGMcBGIoFMhEQLhiABBiRAhjHARiKBRivATINEAAYgAQYsQMYQxiKBTIKEAAYgAQYQxiKBTIIEAAYgAQYsQMyDhAAGIAEGLEDGIMBGIoFMggQABiABBixAzILEAAYgAQYsQMYgwEyCBAAGIAEGLEDSPMPUABYnQVwAHgAkAEAmAH_AaAB-wiqAQUwLjEuNLgBA8gBAPgBAZgCBaACmQnCAhAQLhiABBjRAxhDGMcBGIoFwgIEECMYJ8ICCxAAGIAEGJECGIoFwgIFEAAYgATCAggQLhiABBixA8ICCxAAGIAEGLEDGIoFmAMAkgcDMi01oAeAPLIHAzItNbgHmQnCBwcwLjEuMy4xyAcVgAgA&sclient=gws-wiz","2","2026-02-20 09:11:41.762666+00"
"cfddb7fc-4c2f-44b3-8f2b-6aedf981390b","SOzJff","https://shop.heromotocorp.com/en/","0","2026-02-20 09:28:07.656121+00"
"cb88583f-cc87-41c0-a8d4-ca80db8d2d37","nd1suf","https://fattyurl.com/","1","2026-02-20 09:27:31.087142+00"
"7ecb8833-ce11-4a74-9228-115ce081cadd","xPeNsn","https://fattyurl.com/","1","2026-02-20 09:28:12.696009+00"
"ae9321d4-315b-4ed7-8fb9-40caac0f7a64","R49wg8","https://weather.com/weather/hourbyhour/l/265c04b1d670fe4a3b8f3f3b770c8f76534c65c3c17604d509923ddc8b807d48","0","2026-02-20 15:10:08.579482+00"
"efbd3ab9-5747-4ef5-be6f-443d7655771a","2JBl8K","https://www.isna.ir/news/1404030200720/%D8%B9%D8%B1%D8%A7%D9%82%DA%86%DB%8C-%DB%8C%DA%A9%DB%8C-%D8%A7%D8%B2-%D8%AD%D8%B1%D9%81%D9%87-%D8%A7%DB%8C-%D8%AA%D8%B1%DB%8C%D9%86-%D8%A7%D8%AF%D9%88%D8%A7%D8%B1-%D9%85%D8%B0%D8%A7%DA%A9%D8%B1%D8%A7%D8%AA%DB%8C-%D8%B1%D8%A7-%D8%AF%D8%B1-%D8%B1%D9%85-%D8%AF%D8%A7%D8%B4%D8%AA%DB%8C%D9%85","2","2026-02-20 10:24:34.232113+00"
"a9cd16ed-8c49-4c47-9e8b-49497c34626e","EZ5Mx1","https://share.google/nWJzNf7oBffMIboPk","2","2026-02-20 09:28:55.055637+00"
"cd1adedd-cfb7-4e4f-88f9-664a022694b4","1DfU02","https://docs.google.com/spreadsheets/d/1afkP31p46gVhjFUcDqNTc8JZAa3NhYWNjDXKEfuemeE/edit?gid=1674884545#gid=1674884545","2","2026-02-20 09:29:10.492828+00"
"d5f567cd-d335-4173-8770-54d489d32cbc","hyY0D3","https://us04web.zoom.us/j/76200848007?pwd=E2Yu7w1e6tAXkG7s6c8a6pLY3UkwVa.1","2","2026-02-20 13:49:57.414612+00"
"6d0e5f72-adbb-48b1-8724-32cc42e3eddb","XZxAue","https://yash.com","0","2026-02-20 09:46:21.215575+00"
"d006aeb8-6a12-4814-ab24-da4027dc7496","JRBCBF","https://www.tinyscript.in/","1","2026-02-20 10:39:40.723+00"
"ff43d957-fdd9-4b78-b115-7f73a83f4302","jkLfkB","https://orocorp.in/admin","0","2026-02-20 10:44:49.006731+00"
"827858ee-6e44-4f29-a1f0-67e23e67c7b2","SZ1ZOO","https://app.procuzy.com/inventory/manage?tab=/products-list&page=1&limit=10&keyword=travel&sort_by=alter_id_desc&department_id=466&filter_id=system_default","1","2026-02-20 11:02:17.293194+00"
"b32a4b74-7db9-4e5a-aa7b-e93839ad6838","CcQTy4","https://google.com","0","2026-02-20 11:03:16.215254+00"
"ff92a5b8-9bd0-4394-a395-219d814e35ff","agM2vb","https://bazoocam.org/chat/?lang=en","1","2026-02-20 11:28:04.860434+00"
"fbe3d7e6-2f5f-4361-89ad-5d6c9bcfcf17","g82qTt","https://amzn.in/d/5QWBJJS","0","2026-02-20 11:51:16.323994+00"
"d104e9c6-8f12-441b-a4eb-14b158668a34","8sYiem","https://www.canva.com/design/DAG6cb2JJfk/HZd6mZo9VxoG4YTQszsXFQ/edit?continue_in_browser=true","1","2026-02-20 12:32:49.375576+00"
"41d78e0e-fa69-4645-8ac8-e759b5aa51d8","1orkQH","http://www.basilfoodexport.com","0","2026-02-20 16:10:45.40505+00"
